lead_id,customer_name,current_phone,status,segment,proposal_number,project_number,real_phone_number
fca7bbd9-b6ca-4c44-9959-707412afc672,"Accord Foundations",0000000021,converted,residential,SHIROI/PROP/2025-26/0021,SHIROI/PROJ/2025-26/0021,
01362c89-74d7-4ec0-9e49-ef3dd0516e6b,"Adroit Prosper",0000000035,converted,residential,SHIROI/PROP/2024-25/0035,SHIROI/PROJ/2024-25/0035,
ac01c074-8638-43a0-83a3-050c49bb2823,"Adroit Prosper D Block",0000000024,converted,residential,SHIROI/PROP/2025-26/0024,SHIROI/PROJ/2025-26/0024,
b7da61b5-511e-4e2c-9abd-339978509f67,"Chettinad Grinding Unit",0000000009,converted,residential,SHIROI/PROP/2025-26/0009,SHIROI/PROJ/2025-26/0009,
ba3879fe-1bc4-49fa-90ee-b72d752a4ec7,"Dr Sridhar",0000000036,converted,residential,SHIROI/PROP/2024-25/0036,SHIROI/PROJ/2024-25/0036,
34c8de30-3c44-47b7-a88a-9a71b8fce4fe,"DRA Trinity",0000000012,converted,residential,SHIROI/PROP/2025-26/0012,SHIROI/PROJ/2025-26/0012,
275a96ae-49f8-444c-ab38-0d1c133f78d1,"DRA Urbania",0000000031,converted,residential,SHIROI/PROP/2024-25/0031,SHIROI/PROJ/2024-25/0031,
9984be71-a309-46cb-9821-52ddf97db2aa,"Ekanaa Cottage",0000000026,converted,residential,SHIROI/PROP/2025-26/0026,SHIROI/PROJ/2025-26/0026,
1ed72817-9e29-40ec-a390-c3c7869f882e,"Geeyam Prasang",0000000034,converted,residential,SHIROI/PROP/2025-26/0034,SHIROI/PROJ/2025-26/0034,
61cb9b3a-c322-497a-81bb-375a5ac28830,"Geeyam Suryakantham",0000000035,converted,residential,SHIROI/PROP/2025-26/0035,SHIROI/PROJ/2025-26/0035,
c04a3d23-3590-40a2-ad7f-f309517966ea,"GK shetty tulive belleuve",0000000023,converted,residential,SHIROI/PROP/2024-25/0023,SHIROI/PROJ/2024-25/0023,
ec053d3e-392a-4fd2-84f9-9690c6af5bae,"Hindu School Payalwar street",0000000005,converted,residential,SHIROI/PROP/2024-25/0005,SHIROI/PROJ/2024-25/0005,
a920eb89-9435-4b85-898a-9f7ba77eda53,"Jains Advaya",0000000003,converted,residential,SHIROI/PROP/2024-25/0003,SHIROI/PROJ/2024-25/0003,
0013d248-d70b-4ef4-ae80-8f6ceca72f11,"Jians Aadheeswar",0000000004,converted,residential,SHIROI/PROP/2024-25/0004,SHIROI/PROJ/2024-25/0004,
0d4e4ace-ee1f-4eab-ae71-2c95e349da9b,"Jians Aadhidev",0000000058,converted,residential,SHIROI/PROP/2025-26/0058,SHIROI/PROJ/2025-26/0058,
a1607035-1109-44c0-99f3-dedb8361b2d0,"Kalakchetra",0000000049,converted,residential,SHIROI/PROP/2024-25/0049,SHIROI/PROJ/2024-25/0049,
f9623813-0ee0-405d-8b92-ef670954ed5d,"Khurinji's Orchid",0000000027,converted,residential,SHIROI/PROP/2025-26/0027,SHIROI/PROJ/2025-26/0027,
35782338-6b3a-4751-94f8-169c3ce679d9,"Lancor Bagya",0000000037,converted,residential,SHIROI/PROP/2025-26/0037,SHIROI/PROJ/2025-26/0037,
7e5bfa40-9df7-484a-bc4f-cae3d2f06ae7,"Luze built homes pvt ltd",0000000000,won,residential,SHIROI/PROP/2024-25/0001,SHIROI/PROJ/2024-25/0001,
31ef3ba0-11b0-4d9a-96a9-83e622becb92,"M/s Geetha",0000000015,converted,residential,SHIROI/PROP/2025-26/0015,SHIROI/PROJ/2025-26/0015,
ba101eb1-5ccd-448f-8932-69dc86c3662c,"M/s Legendary Platina",0000000014,converted,residential,SHIROI/PROP/2024-25/0014,SHIROI/PROJ/2024-25/0014,
efe4a5a4-822e-43b1-a8d1-7793a0035cba,"M/s Ramaniyam Adhri",0000000016,converted,residential,SHIROI/PROP/2024-25/0016,SHIROI/PROJ/2024-25/0016,
791a0999-5800-4c25-9b2c-cae2e326d57f,"M/s Ramaniyam Bharadwaj",0000000087,converted,residential,SHIROI/PROP/2025-26/0087,SHIROI/PROJ/2025-26/0087,
1d1529a2-b37d-4d3e-b6e7-e78ff02499d0,"M/s Ramaniyam Premasaraswathi",0000000005,converted,residential,SHIROI/PROP/2025-26/0005,SHIROI/PROJ/2025-26/0005,
181541b9-0873-46a8-84c9-394cad5031f6,"M/s Ramaniyam shyamala",0000000050,converted,residential,SHIROI/PROP/2024-25/0050,SHIROI/PROJ/2024-25/0050,
2dc313ca-593c-4cb5-8db4-0faa7c86168a,"M/s Ramaniyam Sr Vaikuntam",0000000044,converted,residential,SHIROI/PROP/2024-25/0044,SHIROI/PROJ/2024-25/0044,
c664030e-7afd-4a1d-93e2-ccf85519c181,"Mr Aditya Baskar",0000000017,converted,residential,SHIROI/PROP/2025-26/0017,SHIROI/PROJ/2025-26/0017,
dd3350ce-45e9-4729-a3b2-60d009bd8166,"Mr Anilkumar Mehta office",0000000043,converted,residential,SHIROI/PROP/2025-26/0043,SHIROI/PROJ/2025-26/0043,
167ee0e2-374c-4ea3-ad25-0245589b9c31,"Mr Aravind Alamelu",0000000007,converted,residential,SHIROI/PROP/2025-26/0007,SHIROI/PROJ/2025-26/0007,
029c757f-a5dc-4f63-b135-a1e1d6a8bb9e,"Mr Arihanth Nagar",0000000045,converted,residential,SHIROI/PROP/2024-25/0045,SHIROI/PROJ/2024-25/0045,
ff09a618-d32c-48cd-b154-c6c4a022574a,"Mr Arjun prasath  / Bhuvaneswari Cons",0000000056,converted,residential,SHIROI/PROP/2025-26/0056,SHIROI/PROJ/2025-26/0056,
4df0a278-43a2-4aa1-8256-46b36085b2af,"Mr Davidson",0000000012,converted,residential,SHIROI/PROP/2024-25/0012,SHIROI/PROJ/2024-25/0012,
0ce77e2f-74d7-46a3-a8a3-19ee0dfe6322,"Mr Devadoss",0000000025,converted,residential,SHIROI/PROP/2024-25/0025,SHIROI/PROJ/2024-25/0025,
cf32610c-ef30-4afe-948b-7b5dcbdceffc,"Mr Jeyakumar",0000000036,converted,residential,SHIROI/PROP/2025-26/0036,SHIROI/PROJ/2025-26/0036,
852ce11f-9780-4b63-afed-74844f1fa2e2,"Mr Karthikeyan / CM Constructions",0000000048,converted,residential,SHIROI/PROP/2025-26/0048,SHIROI/PROJ/2025-26/0048,
72ba0f41-da35-4622-886d-cd2f9d313149,"Mr Koildhass",0000000079,converted,residential,SHIROI/PROP/2025-26/0079,SHIROI/PROJ/2025-26/0079,
36f0e635-3e23-49bf-a850-516b6881bcdf,"Mr Manickam",0000000016,converted,residential,SHIROI/PROP/2025-26/0016,SHIROI/PROJ/2025-26/0016,
ac87fd82-a655-4d95-9b18-1e3357b9d9f1,"Mr Mithil & Kiran",0000000001,converted,residential,SHIROI/PROP/2025-26/0001,SHIROI/PROJ/2025-26/0001,
a99b826f-f967-4234-9a02-6ae6db1d9f25,"Mr Nehru",0000000002,converted,residential,SHIROI/PROP/2025-26/0002,SHIROI/PROJ/2025-26/0002,
6beb3ace-df5b-430c-adf0-8d13ad013697,"Mr Nitin",0000000033,converted,residential,SHIROI/PROP/2025-26/0033,SHIROI/PROJ/2025-26/0033,
4a08676f-1fd7-44a4-a144-4d53857398c4,"Mr Parasuraman",0000000008,converted,residential,SHIROI/PROP/2025-26/0008,SHIROI/PROJ/2025-26/0008,
71d77048-c133-4d6a-b54a-a41be9f4c62e,"Mr Pradip Jasiwal",0000000004,converted,residential,SHIROI/PROP/2025-26/0004,SHIROI/PROJ/2025-26/0004,
17fce375-7789-4201-9230-a36e07c3c027,"Mr Ravi  / Tiruvannamalai / Service work",0000000046,converted,residential,SHIROI/PROP/2025-26/0046,SHIROI/PROJ/2025-26/0046,
1e9a945d-f6f3-4d7c-b3ca-80da9f7d6602,"Mr Saravanan 4 Bricks",0000000031,converted,residential,SHIROI/PROP/2025-26/0031,SHIROI/PROJ/2025-26/0031,
58bbbd77-d266-4bd8-b7e0-25dab2ebb856,"Mr Sathish",0000000003,converted,residential,SHIROI/PROP/2025-26/0003,SHIROI/PROJ/2025-26/0003,
93281fab-8d37-4671-8ff0-4067b1d6b077,"Mr Sivasankar Home",0000000010,converted,residential,SHIROI/PROP/2025-26/0010,SHIROI/PROJ/2025-26/0010,
5bdca0b1-9531-4ddf-a1cd-a5f6ebb1123a,"Mr Solai Ayyar",0000000006,converted,residential,SHIROI/PROP/2025-26/0006,SHIROI/PROJ/2025-26/0006,
20f232ff-48bc-49d6-b600-a15f090ded4a,"Mr Srinivasan Adyar",0000000032,converted,residential,SHIROI/PROP/2025-26/0032,SHIROI/PROJ/2025-26/0032,
aba4778c-031e-48c2-92dc-5c4ea63c5769,"Mr Vasu Rao",0000000013,converted,residential,SHIROI/PROP/2025-26/0013,SHIROI/PROJ/2025-26/0013,
205231f6-f8c7-475c-8163-69044059fb7c,"Mr Venkateswaran RTO",0000000002,converted,residential,SHIROI/PROP/2024-25/0002,SHIROI/PROJ/2024-25/0002,
1782e371-b8b6-4f97-b67d-9cf0eb6e9965,"National School",0000000011,converted,residential,SHIROI/PROP/2025-26/0011,SHIROI/PROJ/2025-26/0011,
5385612d-afdd-4bb6-9ad7-246caa8c6426,"Navins vyakarana",0000000020,converted,residential,SHIROI/PROP/2024-25/0020,SHIROI/PROJ/2024-25/0020,
2e964a4f-ae3b-45af-a830-c6d08e884d70,"Prestige Hill Crest",0000000086,converted,residential,SHIROI/PROP/2025-26/0086,SHIROI/PROJ/2025-26/0086,
6d0c975e-1adb-4e9c-bbf8-581e5fa94c4b,"Radiance Flourish",0000000028,converted,residential,SHIROI/PROP/2024-25/0028,SHIROI/PROJ/2024-25/0028,
59803cbf-3786-49fc-b34e-0ed23c7fdcd0,"Ramaniyam Gayathri",0000000020,converted,residential,SHIROI/PROP/2025-26/0020,SHIROI/PROJ/2025-26/0020,
8068a181-a193-4a3a-add3-870eecb0797e,"Ramaniyam Manasa",0000000022,converted,residential,SHIROI/PROP/2025-26/0022,SHIROI/PROJ/2025-26/0022,
07b18884-88c2-430c-921c-d82f312f9d99,"Ramaniyam Rangavilasam",0000000019,converted,residential,SHIROI/PROP/2025-26/0019,SHIROI/PROJ/2025-26/0019,
0922fd54-f9b7-4b1b-bf9f-60cd62c63b01,"Ramaniyam Vasam",0000000023,converted,residential,SHIROI/PROP/2025-26/0023,SHIROI/PROJ/2025-26/0023,
c4142a91-1cbb-41d1-a4b4-a8b07809f28f,"RCC e constrcution",0000000021,converted,residential,SHIROI/PROP/2024-25/0021,SHIROI/PROJ/2024-25/0021,
02843450-5731-48d6-bbeb-060f84e589b6,"Seven 77",0000000059,converted,residential,SHIROI/PROP/2025-26/0059,SHIROI/PROJ/2025-26/0059,
6b775713-d46d-456d-b341-468b79de626e,"Shankaran - Shree Viruskha Homes / 8 KWp",0000000028,converted,residential,SHIROI/PROP/2025-26/0028,SHIROI/PROJ/2025-26/0028,
d21dfa43-78bc-4c6c-bdb2-2947311552fa,"Sheela Green",0000000024,converted,residential,SHIROI/PROP/2024-25/0024,SHIROI/PROJ/2024-25/0024,
2c3ae847-27e8-4ec8-afc8-5609915dd5e1,"Shoba Silks Private Ltd",0000000071,converted,residential,SHIROI/PROP/2025-26/0071,SHIROI/PROJ/2025-26/0071,
a3b622a1-8b1e-4359-9ef0-7b1613c1373a,"Sri Krishna Sweets",0000000063,converted,residential,SHIROI/PROP/2025-26/0063,SHIROI/PROJ/2025-26/0063,
d1d37cf9-debb-4f75-b27e-65bb8289d79b,"Sri Krishna Sweets Factory - Only Liasonning",0000000047,converted,residential,SHIROI/PROP/2025-26/0047,SHIROI/PROJ/2025-26/0047,
50629cbd-ad15-4f4b-b5b4-5640316147ff,"Sri virukshah homes",0000000022,converted,residential,SHIROI/PROP/2024-25/0022,SHIROI/PROJ/2024-25/0022,
d981ceb0-c97d-4238-998c-d5802de68b1f,"SSBPL New Beach road",0000000007,converted,residential,SHIROI/PROP/2024-25/0007,SHIROI/PROJ/2024-25/0007,
dab995e2-c7fc-437e-9f87-b0bc26fe8fac,"SSBPL Spring Season",0000000009,converted,residential,SHIROI/PROP/2024-25/0009,SHIROI/PROJ/2024-25/0009,
56dfabbf-520c-4544-8f5d-8fef878a9400,"SSBPL West mamabalam",0000000008,converted,residential,SHIROI/PROP/2024-25/0008,SHIROI/PROJ/2024-25/0008,
41eac3a1-8aa6-40c4-8cdf-84f10ea82822,"Swarnalatha",0000000025,converted,residential,SHIROI/PROP/2025-26/0025,SHIROI/PROJ/2025-26/0025,
7023d6b2-e063-4782-bcc1-927efaff227c,"Syed Mubarak",0000000014,converted,residential,SHIROI/PROP/2025-26/0014,SHIROI/PROJ/2025-26/0014,
f2be2bbc-529b-4d02-8249-d4f4dce100be,"Vaf def Aero Systems Pt Ltd",0000000113,converted,residential,SHIROI/PROP/2025-26/0113,SHIROI/PROJ/2025-26/0113,
0560825b-7ee0-4c60-8985-3a09c7c62d44,"Vgk Saiharithik",0000000030,converted,residential,SHIROI/PROP/2024-25/0030,SHIROI/PROJ/2024-25/0030,
e84e52d3-da5d-4341-8412-f9c47d4f95cf,"Vgk Summer Garden",0000000048,converted,residential,SHIROI/PROP/2024-25/0048,SHIROI/PROJ/2024-25/0048,
c1232bdb-b6fd-4847-b76e-4ac0226aeb20,"Vgk Unity Kingdom",0000000015,converted,residential,SHIROI/PROP/2024-25/0015,SHIROI/PROJ/2024-25/0015,
373c0512-114b-4d5f-b2e8-f8b92fda9255,"Zirve Project [ krishna Group ] ",0000000018,converted,residential,SHIROI/PROP/2025-26/0018,SHIROI/PROJ/2025-26/0018,
